NroItem;CodTransaccion;NroSerial;CodCampus;NroFormulario;Nombre;Ubicación;Proveedor;EmpresaResponsable;Estado;codebar
134;327;Sin serial ;MO020;966217823;Mouse - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*MO020*
135;327;102SN55092;CPU021;966217823;CPU - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*CPU021*
136;327;COM2024CM21070050;MON021;966217823;Monitor - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*MON021*
137;327;KBM130090705;TE021;966217823;Teclado - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*TE021*
138;327;Sin serial ;MO021;966217823;Mouse - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*MO021*
139;327;400SN39187;CPU022;966217823;CPU - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*CPU022*
140;327;COM2024CM21070663;MON022;966217823;Monitor - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*MON022*
141;327;KBM130090733;TE022;966217823;Teclado - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*TE022*
142;327;Sin serial ;MO022;966217823;Mouse - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*MO022*
143;327;400SN39200;CPU023;966217823;CPU - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*CPU023*
144;327;COM2024CM21070705;MON023;966217823;Monitor - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*MON023*
145;327;KBM130091705;TE023;966217823;Teclado - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*TE023*
146;327;Sin serial ;MO023;966217823;Mouse - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*MO023*
147;327;102SN55091;CPU024;966217823;CPU - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*CPU024*
148;327;COM2024CM21070754;MON024;966217823;Monitor - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*MON024*
149;327;KBM130091701;TE024;966217823;Teclado - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*TE024*
150;327;Sin serial ;MO024;966217823;Mouse - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*MO024*
